Komentar,label_index,predicted_label
"""Kaka tidur yaa, udah pagi, gaboleh capek2""",0.0,Normal
"""makan nasi padang aja begini badannya""",,Unknown class
"""yang aku suka dari dia adalah selalu cukur jembut sebelum manggung""",0.0,Normal
"""Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa""",,Unknown class
"""Manusia apa bidadari sih herann deh cantik terus 😌♥️""",,Unknown class
"""@ayu.kinantii isyan skrg berubah ya:( baju nya nakal""",,Unknown class
"""Gemesnya isyan kayak tango, berlapis lapis ciaaaa""",0.0,Normal
"""Makin jelek aja anaknya, padahal ibu ayahnya cakep2""",,Unknown class
"""Kok anaknya kayak udah tua gitu ya mukanya kk tasya""",,Unknown class
"""Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya""",,Unknown class
"""Muka nya muka kolot wkwk bukan muka bayi2 lucu gt""",0.0,Normal
"""Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu""",,Unknown class
"""Lo sintingnya udah tingkat dewa""",0.0,Normal
"""Sepertinya Lutfi setelah putus dgn salsa seperti orang stress""",,Unknown class
"""ANAK TOLOL INI MULAI AKTIF YA BUND""",,Unknown class
"""bisa mati aja ga? gedeg gua liat lu. ANJIM""",0.0,Normal
"""Woy Lutfi asu , sok asik Lo ANJING !""",,Unknown class
"""Apasih kontol berantem aja lah ayo bngst @lutfiagizal""",0.0,Normal
"""Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya""",,Unknown class
"""Anaknya udh pinter, maknya yang kelempengan.. berasa masih baby, tingginya azka aj melebihi mamanya..""",,Unknown class
"""Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu""",0.0,Normal
"""Setengah iri setengah jadi motivasi ini""",,Unknown class
"""Ancur hidup lu kalau sama dia… Sumpah..""",,Unknown class
"""serem banget muka lo mel kayak ayam potong merah banget""",,Unknown class
"""Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw""",0.0,Normal
"""Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss""",,Unknown class
"""Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!""",,Unknown class
"""Apaan sih gak jelas hidupnya""",0.0,Normal
"""Sebelum aku Unfoll, aku mau bilang NAJISSSS""",0.0,Normal
"""muka lu sensual tapi norak kenapa dah""",,Unknown class
"""Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri""",0.0,Normal
"""Kalau pas penempatannya, sebenernya kamu imut banget loh mel.""",,Unknown class
"""Cakep kaga jelek iya HAHAH""",,Unknown class
"""jari jari kaki kayak jarinya tukang panggul""",,Unknown class
"""Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia""",,Unknown class
"""Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,""",,Unknown class
"""Ini diedit biar langsing padahal mah klo live bomber badannya""",0.0,Normal
"""Kakinya gedong sayyy kek kaki jantan… Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong""",,Unknown class
"""Bagusan foto pakai masker drpd gak pakai masker""",,Unknown class
"""@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???""",,Unknown class
"""Bra nya kedodoran kak make ukuran gede yaa""",0.0,Normal
"""Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi""",0.0,Normal
"""mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan""",,Unknown class
"""Semoga lancar terus usahanya mel""",0.0,Normal
"""Cantik banget kalo meldi muka natural kek gini""",0.0,Normal
"""Lu diem aja cantik mel kalo ga banyak gaya serius""",,Unknown class
"""Kaku kek kanebo kering hahaha""",,Unknown class
"""Semakin glowing say… natural kayak gini bagus tambahin prestasi nya ya say""",0.0,Normal
"""Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya… auranya gak keliatan yg ada malah butek""",,Unknown class
"""Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh""",,Unknown class
"""Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip""",,Unknown class
"""Iya lo kamu mirip monyet mel""",,Unknown class
"""Bagusan pantat panci aing atuh anjir""",,Unknown class
"""Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,""",,Unknown class
"""Kok mbak meldi sekarang tambah cantik ya rahasianya apa..""",,Unknown class
"""Lengannya gempal banget sih HAHA""",0.0,Normal
"""Fix yang komen semua nyela""",,Unknown class
"""Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya""",,Unknown class
"""Jari jari nya gede gede banget, apalagi pas ngiklan makan ikan danau hambar, jarinya kayak jempol semua hawak bener""",,Unknown class
"""Jangan disamain muka @rosameldianti_ sama orang oi. Mintanya disamain sama babi""",,Unknown class
"""Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan""",0.0,Normal
"""Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi""",0.0,Normal
"""Mukanya kalau gak dibantu kamera dekil dan kumel""",0.0,Normal
"""Semua wanita cantik, jangan suka merasa lebih ah""",,Unknown class
"""Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si?""",,Unknown class
"""Gila Netizen pada sempurna ngehina orang terus""",0.0,Normal
"""Semua dah pada ngembang… habis di berapa cowo meldi?... enak ya di otak atik""",0.0,Normal
"""Karena muka kayak elo pasaran dan murah…""",,Unknown class
"""Muka buluk kepedean lagi.. muka udah tua""",0.0,Normal
"""Muka lu kaya tai wkwkwk""",,Unknown class
"""Sakit jiwa ini upil gajah… Kasihan""",,Unknown class
"""Jelek macam buntut kuali hahaha""",0.0,Normal
"""Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up…""",,Unknown class
"""Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya""",,Unknown class
"""Mbak mell sehat dan sukses ya""",0.0,Normal
"""Aamiin. Doa baik juga untuk Meldi""",,Unknown class
"""Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin""",,Unknown class
"""Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip""",0.0,Normal
"""Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum""",,Unknown class
"""Nggak ada cantik-cantik nya hahaha""",0.0,Normal
"""Kasian editornya sih ini, nanggung dosa banget kayaknya ngeditnya offside gini""",0.0,Normal
"""Lama lama mirip dewi persik ya""",,Unknown class
"""pada julid padahal kan meldi gak nyusahin kalian""",,Unknown class
"""ini foto apa w masukin museum aja ya ga ada pantas2nya""",,Unknown class
"""Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana""",,Unknown class
"""Lagu lu ga ada yang laku ya mel??""",,Unknown class
"""Lututnya masih hitam gosok maning biar tambah cling dan cantik""",,Unknown class
"""Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya""",0.0,Normal
"""Tambah cantik aja rosa meldianti""",,Unknown class
"""Jadi diri sendiri, jangan jadi ular apalagi dugong""",,Unknown class
"""Saya kok suka ya sama mereka harmonis""",,Unknown class
"""Cantik banget kalau pakai baju kayak gitu""",0.0,Normal
"""Jujur ya kamu kalo anteng ga buat masalah cantik mel""",,Unknown class
"""Cowoknya ga ada cakep cakepnya""",,Unknown class
"""Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya""",,Unknown class
"""Dari sekian banyak foto yang diposting, ini yang paling cantik""",0.0,Normal
"""Artis abal-abal.. Muka putih tangan hitam… ager2 ATM nya udah isi berapa sekarang""",0.0,Normal
"""Itu muka kayak penuh tekanan banget""",,Unknown class
"""@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2""",,Unknown class
"""Masyaallah cantik terlihat sopan dan anggun""",,Unknown class
"""Kang ojek kali belang tangannya""",,Unknown class
"""Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin""",,Unknown class
"""Dia memutuskan menjadi tumbal apartment""",0.0,Normal
"""makin cantik mel, semangat dietnyaa""",0.0,Normal
"""Itu tangan apa paha haha….""",,Unknown class
"""Mel disini kamu keliatan cakep""",,Unknown class
"""Mukanya kayak lagi ngeden pas boker""",0.0,Normal
"""Aduuh.. terlalu halu.. hhahaha lebay editan nyaa lemak kemana lemak… hahhaaa.. mimpi ketinggian..""",,Unknown class
"""salfok sama kaki, tapi cantik banget asli""",0.0,Normal
"""@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut…""",,Unknown class
"""atas bawah hitam putih, kek kopi luwak""",0.0,Normal
"""Palsu badane diedit semua tu, aslinya dimana2 lemak""",0.0,Normal
"""Udah dapat kontrak dari skincare ttp aja buluk mel""",0.0,Normal
"""heran sama netizen klo gk suka jangan diliat aja""",,Unknown class
"""sukses selalu yah ka @rosameldianti_ semangat""",0.0,Normal
"""Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang""",,Unknown class
"""sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_""",,Unknown class
"""Berkarya teros meldi walo ga ada yg nuntun kamu.""",,Unknown class
"""Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun""",,Unknown class
"""Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.""",0.0,Normal
"""Astaga… Ratu edit muka.. Sumpah seren kayak film setan2 gitu…..""",,Unknown class
"""Matanya kayak katarak anjir AHAHAH""",,Unknown class
"""Caption aja COPAS! Cantumin credit dong, dasar iblis""",0.0,Normal
"""Unfoll aja daripada kalian dosa ngebully2 terus..""",0.0,Normal
"""Meldi aku perhatikan kamu seperti orang china deh.. cantik""",0.0,Normal
"""Editan softlensnya keluar itu mbaknya, kayak ratu titisan ular kamu wkwkwk""",0.0,Normal
"""Kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya..""",,Unknown class
"""Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan""",0.0,Normal
"""Kasihan ya kamu @rosameldianti_ Hidup sekali cuman buat bahan hujatan masyarakat… Mubadzir banget deh hidup lo… Napa gak bunuh diri aja?""",,Unknown class
"""Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa""",0.0,Normal
"""Beda sama d foto yaa.. Disini lebar banget mukanya maaf itu kalau foto editan ya""",,Unknown class
"""Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu""",,Unknown class
"""Lupa di edit ya tu muka melar""",,Unknown class
"""Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang""",,Unknown class
"""Kereennnn.. dari bully.an netizen menjadikanmu mau belajar""",,Unknown class
"""Hiiihhh jiik lihat nih orang… auranya buruk bgt gak ada manis manisnya""",,Unknown class
"""Semangat untuk belajar ya… saya uga gak bisa bahasa inggris""",0.0,Normal
"""Yang penting ada niat.. dan keberanian""",,Unknown class
"""Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani..""",0.0,Normal
"""Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_""",0.0,Normal
"""Setidaknya dia ngaku. bukan belagak pintar""",0.0,Normal
"""Masih jauh kalo ngarep bisa ikutan kontes miss earth , makanya dari kecil les inggris biar lidahnya gak keseleo""",,Unknown class
"""Cuma di postingan ini ya bund netizen sedikit yang menghujat""",,Unknown class
"""Happy birthday Mel sehat dan Sukses yah, Aamiin""",,Unknown class
"""Happy Birthday kak Meldi yang imut n ngegemesin. Tambah sukses selalu""",,Unknown class
"""Ya ampun ketiak dan lemaknya editan parah wkwk""",,Unknown class
"""Ketiaknya habis di amplas mel, alus banget""",0.0,Normal
"""Udah diedit gitu, ketiak lu tetap hitam""",,Unknown class
"""Selamat ulang tahun mel, udah yah jangan banyak tingkah""",,Unknown class
"""Mukanya kuning banget kaya kunyit""",,Unknown class
"""Selamat ulang tahun meldi sukses dan sehat terus ya….""",,Unknown class
"""Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan""",,Unknown class
"""HBD meldi… Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin""",,Unknown class
"""Perasaan kemarin lengannya kekar banget kek petinju, udah gitu ketiaknya juga hitam. Kok difoto ini lengannya jadi kecil, ketiaknya putih kek dibedakin""",,Unknown class
"""Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin""",,Unknown class
"""Hbd cantik semoga kedepannya tambah sukses""",0.0,Normal
"""Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu""",0.0,Normal
"""berdiri di kaki sendiri lebih baik""",,Unknown class
"""Biar di edit2 kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin""",,Unknown class
"""Sumpah demi apapun.. Lengan nya gede banget""",,Unknown class
"""Selamat ulang tahun panjang umur sampai ketemu dajjal""",,Unknown class
"""Ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu, dasar Dugong @rosameldianti_""",,Unknown class
"""Di atm tinggal 150 ribu aja banyak gaya lu dugong""",0.0,Normal
"""Gak ada bagus2nya suara dan polanya….""",,Unknown class
"""Si Meldi jelek aja banyak gaya. Beda banget sm tante n sepupunya yang udah jelas2 cantik""",,Unknown class
"""Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat""",,Unknown class
"""Ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan.. Putihnya kek cat tembok""",,Unknown class
"""Aduh dugong masih aja gila filter….""",,Unknown class
"""Sekarang bukan muka aja yang didempul, tapi ketiak juga""",0.0,Normal
"""Kasian kebelet artis tapi gak punya bakat""",0.0,Normal
"""Yang merasa peliharaannya lepas, tolong diangkut""",0.0,Normal
"""Miris banget… ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel""",,Unknown class
"""Mudah mudahan lu jadi gembel. Amin ya Allah""",,Unknown class
